Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
27/2/2007,01:15:00,0.368,0.218,241.570,1.800,0.000,2.000,0.0
1/2/2007,13:04:00,0.232,0.000,241.240,1.000,0.000,0.000,0.0
13/3/2007,04:17:00,0.238,0.000,241.910,1.000,0.000,0.000,0.0
11/2/2007,23:50:00,1.414,0.058,241.280,5.800,0.000,0.000,18.0
3/1/2007,00:17:00,0.530,0.098,245.340,2.200,0.000,0.000,0.0
11/2/2007,13:33:00,1.782,0.114,243.400,7.200,0.000,0.000,18.0
14/2/2007,12:26:00,3.354,0.224,242.250,14.000,0.000,1.000,18.0
25/2/2007,11:54:00,0.326,0.138,244.210,1.400,0.000,0.000,0.0
14/1/2007,23:08:00,1.388,0.130,241.960,5.600,0.000,0.000,18.0
28/1/2007,20:33:00,2.898,0.164,237.790,12.200,1.000,0.000,18.0
11/3/2007,21:17:00,2.762,0.094,239.780,11.400,0.000,0.000,18.0
12/1/2007,06:27:00,0.332,0.000,246.400,1.400,0.000,0.000,0.0
2/1/2007,03:26:00,0.482,0.182,245.870,2.000,0.000,0.000,0.0
15/2/2007,03:00:00,0.256,0.000,243.420,1.200,0.000,0.000,0.0
8/1/2007,11:46:00,0.474,0.382,238.590,2.400,0.000,2.000,0.0
4/1/2007,06:10:00,2.300,0.000,240.430,9.400,0.000,0.000,0.0
18/2/2007,14:27:00,5.456,0.264,240.090,23.000,0.000,68.000,17.0
15/2/2007,20:50:00,3.062,0.188,235.380,13.000,0.000,0.000,17.0
25/2/2007,01:31:00,0.396,0.238,239.460,1.800,0.000,1.000,0.0
15/2/2007,07:04:00,2.994,0.182,239.330,12.600,0.000,0.000,18.0
29/1/2007,06:41:00,0.414,0.254,245.970,2.000,0.000,0.000,0.0
26/1/2007,11:18:00,2.718,0.000,237.020,11.400,0.000,0.000,17.0
27/1/2007,03:58:00,0.358,0.160,245.650,1.800,0.000,0.000,0.0
23/12/2006,02:02:00,0.280,0.050,244.980,1.400,0.000,0.000,0.0
7/3/2007,12:13:00,1.610,0.248,239.870,6.800,0.000,2.000,18.0
20/12/2006,07:18:00,1.874,0.362,242.510,8.400,0.000,2.000,0.0
22/12/2006,10:34:00,1.346,0.090,240.900,5.600,0.000,2.000,18.0
8/3/2007,12:47:00,0.382,0.176,240.550,1.800,0.000,2.000,0.0
25/12/2006,13:27:00,0.964,0.266,243.210,4.200,0.000,1.000,0.0
14/3/2007,05:07:00,0.284,0.000,242.940,1.200,0.000,0.000,0.0
3/3/2007,21:27:00,1.424,0.208,236.730,6.000,0.000,1.000,17.0
13/3/2007,06:32:00,0.680,0.134,241.210,2.800,0.000,0.000,0.0
16/3/2007,22:15:00,1.330,0.000,236.360,5.600,0.000,0.000,17.0
18/2/2007,20:06:00,2.216,0.386,237.470,9.400,0.000,1.000,17.0
24/12/2006,23:30:00,0.412,0.000,243.330,1.600,0.000,0.000,0.0
12/2/2007,21:46:00,1.296,0.000,238.930,5.400,1.000,0.000,0.0
12/3/2007,15:33:00,1.044,0.000,241.560,4.400,0.000,0.000,0.0
23/12/2006,20:52:00,4.394,0.162,237.100,18.400,0.000,1.000,17.0
27/12/2006,06:21:00,0.500,0.182,246.840,2.400,0.000,0.000,0.0
5/3/2007,10:53:00,1.464,0.202,240.380,6.000,0.000,0.000,18.0
16/3/2007,04:06:00,0.692,0.000,240.550,2.800,0.000,0.000,0.0
25/12/2006,02:02:00,0.220,0.000,247.580,1.000,0.000,0.000,0.0
18/2/2007,12:13:00,5.652,0.000,235.800,23.800,0.000,72.000,17.0
22/12/2006,19:28:00,4.504,0.146,237.610,18.800,0.000,0.000,17.0
24/1/2007,05:53:00,0.292,0.108,244.390,1.200,0.000,0.000,0.0
8/3/2007,05:12:00,0.310,0.062,239.830,1.400,0.000,1.000,0.0
12/1/2007,03:27:00,0.410,0.306,244.510,2.000,0.000,2.000,0.0
13/3/2007,04:01:00,0.278,0.000,242.070,1.400,0.000,0.000,0.0
22/2/2007,18:06:00,0.632,0.090,237.860,2.600,0.000,1.000,0.0
22/12/2006,17:01:00,1.670,0.076,239.930,6.800,0.000,0.000,17.0
29/12/2006,00:32:00,0.678,0.110,246.750,3.200,0.000,3.000,0.0
29/1/2007,21:50:00,1.266,0.092,241.390,5.200,2.000,0.000,0.0
28/2/2007,01:59:00,0.224,0.000,244.790,1.000,0.000,0.000,0.0
3/2/2007,20:52:00,3.026,0.198,236.070,12.800,0.000,3.000,17.0
2/3/2007,20:52:00,0.218,0.000,241.860,0.800,0.000,0.000,0.0
12/3/2007,21:24:00,3.488,0.142,237.550,15.200,0.000,28.000,0.0
16/12/2006,22:52:00,0.754,0.086,241.270,4.400,0.000,0.000,0.0
21/12/2006,16:16:00,1.454,0.212,240.780,6.000,0.000,1.000,18.0
24/2/2007,09:47:00,2.024,0.000,240.180,8.400,0.000,0.000,17.0
28/12/2006,03:24:00,0.242,0.070,248.690,1.000,0.000,0.000,0.0
14/1/2007,06:08:00,3.486,0.000,237.840,14.600,0.000,0.000,0.0
6/1/2007,01:35:00,0.244,0.000,241.830,1.000,0.000,0.000,0.0
20/12/2006,19:18:00,3.246,0.136,237.880,13.600,0.000,0.000,17.0
24/12/2006,12:07:00,0.838,0.206,236.960,4.000,0.000,2.000,4.0
2/1/2007,00:40:00,0.548,0.280,242.030,2.400,0.000,1.000,0.0
6/3/2007,15:47:00,0.334,0.112,241.940,1.400,0.000,1.000,0.0
9/1/2007,20:08:00,4.234,0.534,237.890,17.800,39.000,8.000,0.0
7/1/2007,10:58:00,1.732,0.208,238.460,7.400,0.000,0.000,17.0
4/2/2007,13:51:00,1.426,0.122,240.340,5.800,0.000,0.000,17.0
7/3/2007,23:17:00,1.112,0.208,244.250,4.600,0.000,1.000,0.0
2/3/2007,20:23:00,0.312,0.122,241.190,1.400,0.000,0.000,0.0
30/1/2007,23:30:00,0.572,0.084,246.020,2.400,0.000,0.000,0.0
27/2/2007,09:49:00,1.284,0.000,240.710,5.200,0.000,0.000,18.0
10/2/2007,01:52:00,0.264,0.000,241.900,1.200,0.000,0.000,0.0
8/2/2007,00:30:00,0.332,0.132,243.560,1.400,0.000,0.000,0.0
12/2/2007,05:00:00,0.250,0.000,239.270,1.200,0.000,0.000,0.0
24/12/2006,03:02:00,1.738,0.112,247.080,8.000,0.000,1.000,0.0
4/1/2007,22:09:00,0.410,0.160,238.530,1.800,0.000,1.000,0.0
12/3/2007,17:50:00,1.402,0.094,239.790,5.800,0.000,0.000,18.0
13/3/2007,21:48:00,0.882,0.000,243.160,3.600,0.000,0.000,0.0
8/2/2007,12:07:00,1.376,0.106,239.920,5.600,0.000,0.000,18.0
22/1/2007,15:03:00,1.348,0.000,245.620,5.400,0.000,0.000,18.0
24/1/2007,15:11:00,3.766,0.098,241.560,15.600,39.000,1.000,18.0
12/1/2007,19:28:00,2.036,0.094,237.230,8.600,0.000,0.000,18.0
28/1/2007,05:58:00,0.468,0.276,245.630,2.200,0.000,2.000,0.0
3/2/2007,09:04:00,2.412,0.000,241.830,10.000,0.000,0.000,0.0
18/1/2007,18:41:00,2.686,0.000,237.290,11.200,0.000,0.000,17.0
4/1/2007,03:53:00,2.368,0.140,239.050,9.800,0.000,0.000,0.0
6/3/2007,12:59:00,0.444,0.184,242.070,2.000,0.000,1.000,0.0
9/1/2007,10:29:00,1.312,0.096,237.630,5.400,0.000,0.000,17.0
24/2/2007,09:50:00,0.742,0.000,241.230,3.200,0.000,0.000,0.0
8/3/2007,17:45:00,0.238,0.000,242.260,1.000,0.000,0.000,0.0
16/12/2006,21:10:00,3.340,0.070,237.690,14.000,0.000,0.000,17.0
17/2/2007,10:52:00,0.304,0.062,239.580,1.400,0.000,1.000,0.0
22/2/2007,10:45:00,1.682,0.226,240.100,7.000,0.000,2.000,18.0
4/2/2007,06:06:00,5.872,0.052,238.610,25.000,0.000,0.000,0.0
31/1/2007,09:24:00,1.252,0.000,234.970,5.200,0.000,0.000,17.0
26/2/2007,07:02:00,0.216,0.000,240.790,0.800,0.000,0.000,0.0
15/3/2007,07:55:00,1.438,0.088,239.020,6.000,0.000,0.000,17.0
5/2/2007,13:13:00,0.778,0.116,238.060,3.400,0.000,2.000,0.0
9/2/2007,14:08:00,1.482,0.254,242.150,6.200,0.000,1.000,18.0
4/2/2007,05:00:00,0.988,0.000,242.130,5.800,0.000,0.000,0.0
26/12/2006,18:37:00,2.976,0.254,239.340,12.400,0.000,0.000,17.0
11/1/2007,08:50:00,1.304,0.000,242.550,5.400,0.000,0.000,18.0
16/2/2007,20:22:00,2.222,0.000,234.160,9.400,0.000,1.000,17.0
17/1/2007,02:37:00,1.372,0.116,242.110,5.600,0.000,1.000,18.0
11/3/2007,17:21:00,0.946,0.198,242.330,4.000,0.000,0.000,0.0
22/12/2006,04:27:00,0.230,0.000,246.560,1.000,0.000,0.000,0.0
4/1/2007,09:13:00,3.754,0.206,237.110,15.800,0.000,2.000,17.0
3/3/2007,16:33:00,0.368,0.218,241.770,1.800,0.000,1.000,0.0
12/1/2007,10:36:00,0.210,0.000,242.440,1.000,0.000,0.000,0.0
4/2/2007,17:58:00,2.156,0.200,237.180,9.000,0.000,1.000,17.0
11/1/2007,09:51:00,1.342,0.142,239.110,5.600,0.000,1.000,18.0
14/2/2007,16:28:00,2.602,0.288,240.460,11.400,0.000,21.000,0.0
8/2/2007,05:57:00,1.382,0.106,240.150,5.600,0.000,0.000,18.0
28/1/2007,15:33:00,0.912,0.188,245.280,3.800,0.000,1.000,0.0
11/1/2007,08:56:00,1.280,0.000,240.130,5.200,0.000,0.000,18.0
21/12/2006,22:18:00,0.282,0.090,242.680,1.200,0.000,0.000,0.0
31/12/2006,20:09:00,2.462,0.102,235.610,10.400,0.000,0.000,0.0
29/12/2006,17:43:00,1.532,0.000,233.440,6.600,0.000,0.000,0.0
3/2/2007,20:51:00,3.022,0.210,235.580,12.800,1.000,4.000,17.0
7/1/2007,02:44:00,0.430,0.326,247.770,2.200,0.000,0.000,0.0
8/1/2007,16:44:00,2.802,0.244,240.600,11.600,0.000,1.000,17.0
18/2/2007,11:40:00,3.624,0.084,238.420,15.200,38.000,0.000,17.0
15/2/2007,17:58:00,0.256,0.000,239.230,1.200,0.000,0.000,0.0
18/2/2007,20:37:00,3.746,0.096,235.350,15.800,1.000,2.000,17.0
14/1/2007,19:11:00,5.104,0.592,231.400,22.200,0.000,1.000,16.0
10/3/2007,16:43:00,0.452,0.058,239.510,1.800,0.000,1.000,0.0
10/1/2007,15:56:00,0.634,0.132,243.480,2.600,0.000,2.000,0.0
17/2/2007,11:28:00,0.220,0.000,238.020,1.000,0.000,0.000,0.0
13/3/2007,09:01:00,1.274,0.000,238.670,5.200,0.000,0.000,17.0
23/1/2007,14:12:00,0.218,0.000,244.350,1.000,0.000,0.000,0.0
24/12/2006,12:54:00,3.096,0.082,236.050,13.600,0.000,31.000,0.0
9/3/2007,18:52:00,0.280,0.000,240.070,1.200,0.000,0.000,0.0
12/1/2007,03:42:00,0.218,0.000,243.250,1.000,0.000,0.000,0.0
6/3/2007,19:38:00,2.862,0.190,234.680,12.200,0.000,1.000,17.0
4/1/2007,08:43:00,2.688,0.110,237.780,11.200,0.000,0.000,0.0
2/2/2007,17:17:00,0.264,0.000,240.910,1.200,0.000,0.000,0.0
13/2/2007,05:35:00,0.220,0.000,242.720,1.000,0.000,0.000,0.0
8/3/2007,14:16:00,0.494,0.318,241.840,2.400,0.000,1.000,0.0
13/1/2007,20:07:00,3.264,0.336,234.170,14.000,0.000,1.000,17.0
15/2/2007,08:45:00,1.404,0.096,240.220,5.800,0.000,0.000,18.0
6/2/2007,13:46:00,1.232,0.228,243.710,5.200,0.000,0.000,0.0
23/12/2006,14:49:00,2.702,0.354,241.760,11.600,0.000,0.000,18.0
28/1/2007,04:33:00,2.566,0.218,244.690,10.400,0.000,0.000,0.0
26/2/2007,11:28:00,0.312,0.126,241.650,1.400,0.000,0.000,0.0
16/3/2007,07:10:00,4.142,0.094,239.120,17.400,0.000,0.000,0.0
5/3/2007,05:25:00,0.292,0.084,241.370,1.200,0.000,1.000,0.0
26/2/2007,16:42:00,0.322,0.128,242.630,1.400,0.000,0.000,0.0
11/3/2007,03:31:00,2.376,0.000,242.480,9.800,0.000,0.000,0.0
14/2/2007,05:43:00,0.292,0.088,240.940,1.200,0.000,0.000,0.0
14/3/2007,18:24:00,0.328,0.112,238.570,1.400,0.000,0.000,0.0
30/12/2006,07:38:00,0.306,0.172,243.740,1.400,0.000,0.000,0.0
29/1/2007,02:26:00,0.290,0.058,242.670,1.400,0.000,0.000,0.0
9/3/2007,13:20:00,1.478,0.222,238.880,6.200,0.000,2.000,18.0
16/3/2007,08:09:00,1.262,0.000,237.290,5.200,0.000,0.000,17.0
6/1/2007,07:18:00,0.246,0.000,242.310,1.000,0.000,0.000,0.0
18/2/2007,23:50:00,0.396,0.236,244.370,1.800,0.000,1.000,0.0
11/2/2007,11:31:00,7.370,0.778,237.390,31.200,0.000,39.000,17.0
18/1/2007,04:43:00,0.364,0.238,244.030,1.800,0.000,1.000,0.0
11/1/2007,12:50:00,0.226,0.000,241.450,1.000,0.000,0.000,0.0
13/3/2007,01:56:00,0.268,0.000,240.900,1.200,0.000,0.000,0.0
21/2/2007,19:33:00,2.246,0.518,238.820,9.600,0.000,0.000,0.0
12/1/2007,18:29:00,2.528,0.000,236.350,10.600,0.000,0.000,17.0
24/2/2007,08:41:00,2.106,0.108,239.750,8.800,0.000,0.000,18.0
18/2/2007,11:04:00,3.526,0.208,237.630,14.800,1.000,0.000,17.0
8/2/2007,09:29:00,1.662,0.088,239.430,7.200,0.000,1.000,18.0
3/2/2007,18:15:00,3.446,0.142,233.410,14.800,0.000,0.000,16.0
11/3/2007,13:46:00,2.088,0.260,236.140,9.000,1.000,4.000,17.0
26/1/2007,11:24:00,2.696,0.000,236.180,11.400,0.000,0.000,17.0
27/1/2007,18:00:00,1.630,0.060,237.300,6.800,0.000,0.000,17.0
19/2/2007,11:40:00,1.336,0.000,240.330,5.400,0.000,0.000,17.0
19/2/2007,10:24:00,1.410,0.056,235.470,6.000,0.000,1.000,17.0
11/3/2007,22:57:00,1.590,0.064,243.170,6.400,0.000,0.000,0.0
10/2/2007,16:58:00,1.428,0.114,241.590,5.800,0.000,0.000,18.0
19/12/2006,12:44:00,0.320,0.130,243.210,1.400,0.000,0.000,0.0
29/1/2007,09:41:00,1.850,0.080,236.650,7.800,0.000,0.000,17.0
26/1/2007,03:13:00,0.410,0.266,246.220,2.000,0.000,0.000,0.0
25/2/2007,18:11:00,0.216,0.000,240.590,0.800,0.000,0.000,0.0
8/2/2007,06:54:00,4.894,0.096,237.870,20.400,0.000,1.000,0.0
25/2/2007,22:10:00,0.214,0.000,239.990,0.800,0.000,0.000,0.0
19/2/2007,15:55:00,0.304,0.108,244.330,1.400,0.000,0.000,0.0
25/2/2007,16:24:00,0.406,0.252,241.880,2.000,0.000,1.000,0.0
31/12/2006,08:16:00,4.430,0.270,238.850,18.400,0.000,0.000,18.0
23/1/2007,12:10:00,0.214,0.000,242.380,0.800,0.000,0.000,0.0
2/2/2007,22:52:00,4.318,0.000,239.980,18.000,0.000,0.000,17.0
17/1/2007,13:28:00,1.588,0.360,242.580,6.600,0.000,1.000,18.0
13/2/2007,14:23:00,0.752,0.112,245.880,3.000,0.000,1.000,0.0
15/3/2007,11:01:00,1.306,0.000,238.080,5.400,0.000,0.000,18.0
29/1/2007,11:48:00,1.274,0.000,237.950,5.200,0.000,0.000,17.0
19/1/2007,13:18:00,0.206,0.000,242.870,0.800,0.000,0.000,0.0
5/1/2007,08:55:00,2.260,0.000,238.980,9.400,0.000,0.000,0.0
16/3/2007,13:28:00,0.332,0.116,241.210,1.400,0.000,0.000,0.0
7/1/2007,03:24:00,0.438,0.306,246.290,2.200,0.000,0.000,0.0
3/3/2007,09:15:00,0.482,0.344,240.280,2.400,0.000,1.000,0.0
26/12/2006,06:41:00,2.332,0.000,243.180,9.600,0.000,0.000,0.0
27/1/2007,16:54:00,1.546,0.236,241.600,6.400,0.000,2.000,18.0
10/3/2007,01:45:00,0.396,0.218,242.250,1.800,0.000,0.000,0.0
25/2/2007,00:58:00,0.290,0.086,239.070,1.200,0.000,0.000,0.0
6/1/2007,18:53:00,0.800,0.000,235.940,3.400,0.000,0.000,0.0
7/1/2007,22:32:00,1.706,0.000,241.530,7.000,0.000,0.000,18.0
1/3/2007,07:24:00,0.318,0.128,241.990,1.400,0.000,0.000,0.0
31/1/2007,22:52:00,0.388,0.116,242.760,1.600,0.000,1.000,0.0
1/1/2007,01:02:00,2.590,0.132,242.040,10.600,0.000,0.000,0.0
18/2/2007,06:32:00,4.384,0.230,238.620,18.400,0.000,1.000,18.0
9/1/2007,07:26:00,1.738,0.000,240.360,7.200,0.000,0.000,18.0
8/2/2007,19:57:00,2.322,0.226,238.210,10.200,8.000,0.000,0.0
7/1/2007,09:24:00,0.336,0.178,244.330,1.600,0.000,1.000,0.0
6/2/2007,16:16:00,0.814,0.098,244.830,3.400,0.000,0.000,0.0
7/3/2007,00:14:00,1.592,0.192,240.440,6.600,0.000,2.000,18.0
24/12/2006,22:07:00,0.514,0.130,242.650,2.200,0.000,0.000,0.0
23/2/2007,01:18:00,0.292,0.000,239.610,1.200,0.000,0.000,0.0
24/12/2006,09:58:00,1.928,0.106,236.440,8.600,0.000,1.000,17.0
3/3/2007,06:18:00,0.326,0.130,242.960,1.400,0.000,0.000,0.0
22/1/2007,18:56:00,2.904,0.328,232.630,12.600,0.000,0.000,0.0
6/1/2007,22:56:00,0.262,0.000,242.800,1.200,0.000,0.000,0.0
